@relation 'german_credit-weka.filters.unsupervised.instance.Resample-S0-Z30.0-no-replacement-V-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R18,38,62_ICA-weka.filters.unsupervised.attribute.IndependentComponents-W-A59-N200-T1.0E-4'

@attribute Source_0 numeric
@attribute Source_1 numeric
@attribute Source_2 numeric
@attribute Source_3 numeric
@attribute Source_4 numeric
@attribute Source_5 numeric
@attribute Source_6 numeric
@attribute Source_7 numeric
@attribute Source_8 numeric
@attribute Source_9 numeric
@attribute Source_10 numeric
@attribute Source_11 numeric
@attribute Source_12 numeric
@attribute Source_13 numeric
@attribute Source_14 numeric
@attribute Source_15 numeric
@attribute Source_16 numeric
@attribute Source_17 numeric
@attribute Source_18 numeric
@attribute Source_19 numeric
@attribute Source_20 numeric
@attribute Source_21 numeric
@attribute Source_22 numeric
@attribute Source_23 numeric
@attribute Source_24 numeric
@attribute Source_25 numeric
@attribute Source_26 numeric
@attribute Source_27 numeric
@attribute Source_28 numeric
@attribute Source_29 numeric
@attribute Source_30 numeric
@attribute Source_31 numeric
@attribute Source_32 numeric
@attribute Source_33 numeric
@attribute Source_34 numeric
@attribute Source_35 numeric
@attribute Source_36 numeric
@attribute Source_37 numeric
@attribute Source_38 numeric
@attribute Source_39 numeric
@attribute Source_40 numeric
@attribute Source_41 numeric
@attribute Source_42 numeric
@attribute Source_43 numeric
@attribute Source_44 numeric
@attribute Source_45 numeric
@attribute Source_46 numeric
@attribute Source_47 numeric
@attribute Source_48 numeric
@attribute Source_49 numeric
@attribute Source_50 numeric
@attribute Source_51 numeric
@attribute Source_52 numeric
@attribute Source_53 numeric
@attribute Source_54 numeric
@attribute Source_55 numeric
@attribute Source_56 numeric
@attribute Source_57 numeric
@attribute Source_58 numeric
@attribute class {good,bad}

@data
-0.065799,-0.019906,-0.026617,0.018793,0.00932,-0.015251,0.007591,0.067803,0.00565,-0.055795,0.037851,0.025414,0.010608,-0.059282,-0.027612,-0.015316,-0.022917,-0.001735,0.008819,-0.013238,-0.045136,0.019778,-0.007053,-0.03483,-0.062784,-0.040877,0.006049,0.005031,-0.0225,0.016348,-0.023076,-0.021234,0.02428,0.002606,0.052996,0.068185,0.010697,0.013894,-0.086302,0.017059,-0.018598,0.065717,0.018082,0.051929,0.038053,-0.023688,-0.011418,0.051134,0.021729,-0.021065,-0.04064,0.030961,-0.003884,-0.031349,0.050151,0.011909,0.002123,-0.024155,0.002558,good
-0.007178,-0.032574,0.028071,-0.032404,-0.02533,0.02026,-0.02624,-0.024061,-0.037019,0.01868,0.041367,-0.020125,0.003727,0.047288,-0.033176,-0.033105,-0.025636,-0.017002,-0.037719,-0.066348,0.037733,0.01882,0.007624,0.035406,0.023549,-0.001368,-0.026337,-0.032518,0.01393,-0.003485,-0.037101,0.01065,-0.034794,-0.005639,0.019631,-0.013929,0.040649,-0.013421,0.017309,0.016299,0.004614,0.030672,-0.013281,-0.007835,-0.023873,-0.002354,-0.021829,-0.056489,0.033184,-0.034854,0.057542,-0.010146,-0.011632,0.022057,0.028924,0.003416,-0.014775,-0.01418,-0.008669,good
0.059717,-0.003948,0.026972,-0.018366,0.030395,0.025876,0.033697,0.054308,0.026457,0.028934,0.020615,-0.046004,0.004215,-0.006667,0.011258,-0.031885,-0.066407,0.067471,-0.055297,-0.055423,-0.014025,0.009054,0.020563,-0.01275,-0.035533,-0.01565,0.023711,-0.02141,-0.05858,-0.009246,0.025216,-0.041413,-0.037541,0.03855,-0.01429,-0.054548,0.032105,-0.03222,0.028051,0.024234,-0.045923,0.075594,-0.005712,0.102028,0.031791,-0.027989,0.043723,0.025451,-0.061787,0.028012,-0.008254,0.047349,-0.001058,-0.010902,-0.025275,0.062742,0.013423,0.00584,-0.033937,good
-0.0344,0.018024,0.01092,-0.016169,0.000732,-0.005863,-0.093012,0.017443,-0.017244,0.009647,-0.041396,-0.011275,-0.006283,-0.021804,-0.013523,0.008338,0.001097,-0.012363,0.006105,0.035306,-0.005297,0.010519,-0.0586,-0.073786,0.013051,0.026159,0.043609,-0.018907,0.003646,0.019563,-0.047198,-0.01236,0.025539,0.024878,0.010704,-0.040265,-0.025177,-0.012079,0.016942,-0.058469,0.026312,0.030184,-0.005712,-0.007347,-0.041451,-0.005345,-0.008157,-0.007051,-0.027607,-0.019901,-0.029128,-0.055739,0.012116,0.036949,-0.034736,-0.074343,0.021968,0.04417,0.005369,bad
0.004053,0.013691,-0.015264,-0.000788,0.030822,-0.00983,-0.020625,-0.016493,0.02426,-0.025021,-0.005508,0.00142,-0.024593,-0.035476,-0.004856,0.003394,0.014281,-0.041904,0.002076,0.011166,-0.000109,-0.041239,0.00921,-0.043695,0.024526,0.0156,-0.035615,-0.009813,-0.015611,-0.021918,-0.021598,0.049713,-0.01624,0.005408,-0.034813,-0.031324,-0.033081,0.030524,-0.007472,-0.003721,0.009924,-0.036222,0.000635,-0.000206,-0.015572,-0.026036,-0.008523,-0.012544,-0.008198,0.031552,0.038987,-0.010634,0.016749,0.003014,-0.028571,-0.010744,-0.050176,0.009746,-0.012331,bad
-0.006079,0.034556,-0.023115,-0.008597,0.040031,0.000325,0.007274,0.003903,0.033291,-0.001987,-0.028298,0.004487,-0.006357,0.006739,0.01846,0.009125,0.017051,0.028913,0.000581,0.007065,0.012919,0.008419,0.007672,-0.035345,0.003154,0.016984,-0.017678,0.013722,-0.014221,-0.040211,0.011974,0.03521,0.03864,-0.036424,-0.041696,0.022744,0.020506,0.005077,0.014497,0.004118,0.012859,-0.008636,0.017027,0.002019,0.031624,0.007422,-0.029367,0.056704,0.019733,0.000942,0.023438,-0.010132,0.025723,-0.053673,-0.006816,-0.006892,-0.050002,0.020915,0.012398,good
0.015771,-0.003216,0.004511,0.00263,0.004516,0.014645,-0.011714,-0.004286,-0.005769,0.02161,-0.000869,-0.046004,-0.04266,-0.025222,0.018094,-0.031641,-0.001954,-0.02335,-0.012328,-0.024295,0.033827,-0.020243,-0.005804,-0.024469,0.024038,-0.000513,-0.021699,0.022047,0.012709,-0.014846,-0.006858,-0.01236,-0.002995,0.008277,0.005364,-0.052839,0.019653,0.030768,-0.002467,-0.039243,0.041968,-0.031828,0.038233,-0.009056,0.01226,0.021327,0.029563,-0.037538,0.014385,-0.01398,-0.038283,0.001939,0.008387,0.005699,-0.024055,0.02075,0.0769,-0.016621,-0.011721,bad
0.006738,-0.013165,-0.021978,-0.013728,0.030822,-0.031559,-0.015742,0.029894,0.020109,-0.001583,0.003281,-0.01689,-0.007503,0.009446,0.042996,0.022437,0.031615,-0.024814,-0.025756,0.01849,0.034071,-0.019755,0.006769,-0.031,0.009877,0.009741,-0.032685,0.02046,-0.015611,0.0169,0.00953,0.027252,-0.001713,0.010535,-0.008446,-0.005445,-0.015259,0.014899,-0.020655,-0.034482,-0.00863,-0.056242,0.008692,-0.041954,0.022514,-0.030675,-0.002664,-0.006684,0.020611,0.030331,0.025316,-0.010879,0.00796,-0.013832,-0.053962,0.001951,0.021114,-0.011738,-0.009401,good
0.018213,0.008259,-0.02088,-0.015437,0.014281,0.009274,0.041021,0.051378,0.040129,-0.002804,-0.00917,0.021867,0.031559,-0.03694,0.028347,-0.001367,0.006346,-0.031162,-0.002562,0.000363,0.020155,0.022726,0.026422,-0.019586,0.00646,0.040014,-0.016816,0.006422,-0.010728,0.032502,0.02131,-0.032868,0.007625,-0.00271,-0.047493,0.007586,0.023438,0.041022,0.004857,-0.016538,0.029273,-0.002531,0.047022,-0.016868,0.011283,0.064784,-0.010476,0.005675,-0.002705,0.015317,-0.016555,-0.057387,-0.013997,-0.02848,0.014275,-0.0105,0.046138,-0.031269,0.009276,bad
-0.006201,-0.006634,0.035273,0.002874,0.019225,-0.019718,0.004156,0.011827,-0.032991,0.056034,-0.00331,0.00142,-0.022152,0.027269,-0.006198,-0.031274,-0.019716,0.012783,-0.006469,-0.006778,-0.008044,-0.024637,-0.009222,0.025275,0.034292,0.026709,-0.003876,-0.002489,-0.026109,-0.028144,0.001435,-0.040131,-0.003025,-0.000268,0.013909,-0.000074,0.019012,0.05445,-0.006495,-0.005185,0.009375,-0.004972,0.005274,0.006569,-0.015084,-0.00211,-0.010842,-0.047364,0.010723,-0.000553,0.02263,0.010179,-0.012201,0.016686,0.016961,0.009519,0.024165,0.012676,0.009642,good
