@relation 'german_credit-weka.filters.unsupervised.instance.Resample-S0-Z30.0-no-replacement-V_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.95-A5-M28'

@attribute '-0.326property_magnitude=no known property-0.322housing=for free-0.267credit_amount-0.237personal_status=male single-0.232job=high qualif/self emp/mgmt...' numeric
@attribute '0.347housing=own+0.291checking_status=no checking+0.289credit_history=critical/other existing credit-0.266housing=rent+0.248existing_credits...' numeric
@attribute '-0.297property_magnitude=car+0.289job=unskilled resident-0.289other_parties=none+0.249other_parties=guarantor+0.241property_magnitude=real estate...' numeric
@attribute '0.36 other_payment_plans=none-0.29housing=own-0.268other_payment_plans=bank+0.242residence_since-0.223other_payment_plans=stores...' numeric
@attribute '0.397other_parties=none-0.333job=skilled-0.314other_parties=guarantor-0.236purpose=radio/tv-0.232personal_status=male single...' numeric
@attribute '0.358savings_status=<100-0.322credit_history=existing paid+0.318credit_history=critical/other existing credit+0.318existing_credits-0.219savings_status=no known savings...' numeric
@attribute '-0.395other_payment_plans=none+0.354other_payment_plans=bank+0.295job=skilled-0.294employment=unemployed-0.294job=high qualif/self emp/mgmt...' numeric
@attribute -0.356savings_status=<100-0.293checking_status=<0+0.274housing=rent-0.267other_parties=none+0.251savings_status=100<=X<500... numeric
@attribute '0.256employment=1<=X<4-0.239personal_status=female div/dep/mar+0.225purpose=business+0.219num_dependents-0.21employment=unemployed...' numeric
@attribute '-0.432property_magnitude=life insurance+0.311purpose=radio/tv-0.255savings_status=no known savings-0.236purpose=furniture/equipment+0.221savings_status=<100...' numeric
@attribute '-0.465employment=1<=X<4+0.348checking_status=0<=X<200-0.33checking_status=no checking+0.3  property_magnitude=life insurance+0.236employment=<1...' numeric
@attribute '-0.344job=unemp/unskilled non res+0.32 job=unskilled resident-0.304job=skilled+0.25 housing=rent-0.248employment=1<=X<4...' numeric
@attribute '0.392property_magnitude=car+0.369purpose=new car+0.33 employment=4<=X<7-0.269purpose=furniture/equipment-0.268property_magnitude=life insurance...' numeric
@attribute '-0.394personal_status=male div/sep-0.356employment=>=7-0.272property_magnitude=car+0.217purpose=education-0.213residence_since...' numeric
@attribute '0.36 employment=<1-0.27employment=unemployed+0.251checking_status=>=200-0.238residence_since-0.229installment_commitment...' numeric
@attribute '0.413personal_status=male mar/wid-0.328savings_status=100<=X<500-0.303purpose=education-0.244personal_status=female div/dep/mar-0.235job=unskilled resident...' numeric
@attribute '0.354savings_status=>=1000-0.332credit_history=no credits/all paid+0.308employment=4<=X<7-0.304savings_status=no known savings-0.256employment=1<=X<4...' numeric
@attribute '0.291purpose=new car-0.284employment=<1+0.258employment=1<=X<4-0.257job=unemp/unskilled non res-0.242personal_status=male single...' numeric
@attribute '-0.386personal_status=male mar/wid+0.292employment=4<=X<7+0.272personal_status=female div/dep/mar-0.225property_magnitude=life insurance+0.211savings_status=>=1000...' numeric
@attribute '-0.378savings_status=500<=X<1000+0.327savings_status=no known savings+0.291other_payment_plans=stores+0.271installment_commitment-0.257employment=4<=X<7...' numeric
@attribute '-0.334purpose=business+0.326savings_status=>=1000+0.307checking_status=0<=X<200+0.296purpose=used car-0.262employment=4<=X<7...' numeric
@attribute '-0.528checking_status=>=200+0.394purpose=repairs+0.367checking_status=no checking-0.195purpose=radio/tv+0.173credit_history=no credits/all paid...' numeric
@attribute '-0.305purpose=retraining+0.304credit_history=delayed previously-0.243personal_status=male mar/wid-0.221credit_history=all paid+0.22 other_parties=guarantor...' numeric
@attribute '0.327savings_status=>=1000-0.293personal_status=male div/sep+0.257credit_history=no credits/all paid+0.253purpose=retraining-0.237credit_history=delayed previously...' numeric
@attribute '0.347purpose=education+0.295credit_history=delayed previously-0.285savings_status=500<=X<1000-0.276purpose=domestic appliance+0.25 purpose=repairs...' numeric
@attribute '-0.275purpose=used car+0.255purpose=furniture/equipment-0.249purpose=education-0.239savings_status=100<=X<500-0.224checking_status=>=200...' numeric
@attribute '-0.546purpose=domestic appliance-0.255purpose=education+0.227credit_history=no credits/all paid-0.222checking_status=0<=X<200-0.207employment=<1...' numeric
@attribute '-0.375purpose=retraining-0.308credit_history=all paid+0.299savings_status=100<=X<500-0.289savings_status=500<=X<1000-0.278purpose=new car...' numeric
@attribute class {good,bad}

@data
-3.75118,-1.25114,-0.100372,1.848589,-0.725122,-2.649034,-0.242275,-0.048422,2.836637,-0.69289,-1.993128,-0.0151,-1.158174,2.215461,1.158365,-2.018737,-1.661812,0.24875,0.621338,0.027138,-0.962111,0.311537,-0.565731,0.274527,1.822993,-0.311543,-1.099203,0.288435,good
-0.250473,1.443448,-0.922455,1.720226,-0.915003,-1.13386,0.592154,-1.163451,-0.773777,-2.141781,0.71506,-0.995345,-1.594018,-1.190452,-1.670761,-0.312859,0.081878,-1.418675,-0.847256,-2.50139,-0.22577,0.624371,0.664523,-0.566274,-1.333719,0.977603,0.222451,-1.047066,good
1.391385,1.594555,0.452348,1.003405,0.911172,-2.314207,-1.227531,0.508493,0.27527,0.119485,-0.544167,0.597916,-1.944261,-2.045494,0.234798,0.165548,3.368326,0.69314,3.208484,-1.129822,-0.999967,-0.085556,-1.036936,-0.142586,1.141668,0.775494,1.445825,0.941225,good
-0.600711,-0.059971,-0.217016,-1.496493,2.303415,1.30542,-3.208432,0.372026,-1.168293,1.785068,0.764022,0.243402,1.903697,0.46581,-0.594519,1.001474,-0.178894,1.71159,-1.916549,-0.015624,1.44716,-0.081203,-0.982637,-0.126763,-0.043529,0.501436,-0.21971,-0.17852,bad
2.469795,-2.728198,-1.469166,0.661661,0.98178,0.331835,0.436727,0.434093,0.130976,0.834284,0.976326,0.479691,1.874011,-0.406062,1.418213,-0.384639,0.007931,-0.447358,-0.655665,0.560956,1.184926,0.490629,0.634607,0.536718,-0.136954,-0.039937,-1.115129,-1.598627,bad
2.444915,-0.789491,-2.131451,-0.995024,-0.361198,0.081386,-0.809282,-0.430087,-0.30481,1.701145,-0.608971,-0.409571,0.326505,-0.200913,0.812661,-0.732212,-1.380386,0.578453,0.163302,-0.749941,0.861896,-0.384107,0.618489,0.270638,0.252104,0.445876,0.062808,-0.367589,good
-1.061009,2.036429,2.43487,0.962613,1.096724,1.051283,-0.278957,-1.515061,-0.214119,0.065461,0.766562,1.495158,1.461698,-2.008829,-0.814524,-1.124862,-0.748949,0.620861,0.33493,1.260192,0.313061,0.315892,-0.446154,-0.591473,-0.250479,0.547635,-0.150988,-0.302179,bad
1.808212,-2.619127,-0.774969,1.809236,0.285545,1.022661,1.023751,-0.297209,0.401122,-0.075177,-1.444732,0.040438,1.9927,-1.50959,-0.746784,-0.356398,-0.765324,1.036843,-0.124878,1.266439,0.551412,0.078525,1.172215,-0.078965,0.591569,0.351583,0.160192,-0.461201,good
2.222945,-0.515392,-0.7262,-0.350222,0.150925,-1.596688,-0.323902,-0.38829,0.125548,0.516005,-0.302243,0.817513,0.804707,-0.468635,-1.394064,-2.931989,-0.833172,1.041493,0.347613,1.374811,-0.04756,0.056063,-1.044703,-1.38892,-0.754486,-0.229689,1.455392,1.806493,bad
-1.201705,3.654562,-0.096384,1.767232,-0.889415,0.035294,0.44285,0.579679,-1.364848,-0.833536,1.656782,0.056199,-1.245125,0.405261,-0.229491,0.299159,-1.528318,-0.528778,-0.299197,0.809952,-0.32343,-0.370971,-0.067368,-0.554138,-0.301439,0.665641,0.428145,0.669204,good
-4.154837,-3.47974,-1.121995,0.836066,-0.029768,-0.689177,-1.929637,-0.521426,-0.279139,1.559036,-0.195092,1.451235,-1.492112,0.313833,1.664243,0.173188,-0.055545,0.862577,0.771955,-0.552278,1.060634,0.380322,-0.186653,0.069465,-1.127801,-0.361042,0.763152,-0.663035,bad
-0.335109,2.167708,-1.856311,0.437108,-1.832901,-1.9435,-0.167884,-0.948665,-0.711973,-0.218579,-0.634631,0.067991,1.082372,-1.160337,-0.538886,-0.256219,-0.217079,-1.743983,-0.717074,-1.582721,-0.220125,0.4021,0.198837,-0.83397,-0.951179,0.008908,-0.443753,-1.550921,good
-0.727757,3.185848,0.219168,0.819639,0.390796,2.178228,-0.109922,-0.12042,-0.259259,0.586854,-1.009396,-0.56868,1.387956,-0.575524,-0.135009,-0.489274,-0.473852,1.344149,-0.977549,0.391413,0.622919,0.50445,0.765062,0.576412,-0.1341,-0.437772,-0.613043,-0.628071,good
1.177145,-0.400626,0.558485,2.092391,-1.281333,-1.578504,0.808853,-0.205229,1.518514,-0.199097,-2.051319,-0.363967,0.780916,-1.002126,-2.035942,0.837258,-0.209864,-1.379854,-0.501238,-0.915466,-0.117872,-1.384773,0.375714,-1.010722,-0.940417,0.718487,-0.875913,-0.327373,good
-0.249128,0.804392,-0.697868,0.411013,0.352714,0.076122,-0.01305,1.21532,0.631169,-1.085117,2.818177,-0.172247,-0.352695,0.323445,0.467146,-0.491157,-0.07579,-0.176272,-0.501288,-0.824718,2.083497,-0.378232,-0.948741,-1.682225,-1.349125,-1.781943,-0.16354,0.704915,good
2.020748,2.167432,-0.788295,0.401891,0.299944,1.000227,-0.171058,1.561315,0.251639,-1.248924,-1.659972,-1.788702,0.341465,0.269826,1.206151,1.374005,-0.663307,0.499663,-2.505127,-0.112974,0.777652,0.018784,-2.648206,0.346969,1.380979,0.521289,-0.205219,0.848681,good
1.256086,-0.768518,2.436231,-1.767796,0.880129,-1.095099,0.89974,-2.112094,0.251755,-1.053497,-2.182287,-0.020725,-0.942105,-0.781586,0.028857,0.38339,0.119321,0.101967,0.153281,-1.162481,0.335259,0.157531,0.254368,0.754739,0.252991,1.394029,-0.714329,1.589639,good
