@relation german_credit-weka.filters.unsupervised.instance.Resample-S0-Z30.0-no-replacement-V-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.supervised.attribute.NominalToBinary-weka.filters.unsupervised.attribute.RandomProjection-N28-R43-DSparse1

@attribute K1 numeric
@attribute K2 numeric
@attribute K3 numeric
@attribute K4 numeric
@attribute K5 numeric
@attribute K6 numeric
@attribute K7 numeric
@attribute K8 numeric
@attribute K9 numeric
@attribute K10 numeric
@attribute K11 numeric
@attribute K12 numeric
@attribute K13 numeric
@attribute K14 numeric
@attribute K15 numeric
@attribute K16 numeric
@attribute K17 numeric
@attribute K18 numeric
@attribute K19 numeric
@attribute K20 numeric
@attribute K21 numeric
@attribute K22 numeric
@attribute K23 numeric
@attribute K24 numeric
@attribute K25 numeric
@attribute K26 numeric
@attribute K27 numeric
@attribute K28 numeric
@attribute class {good,bad}

@data
8.660254,-119.511506,15747.805942,-8.660254,-65.817931,-10.392305,-57.157677,-15687.184164,-1.732051,-77.942286,15681.988012,64.08588,-57.157677,57.157677,-58.889727,1.732051,15680.255961,55.425626,8.660254,-8.660254,67.549981,60.621778,-15628.294437,136.832014,15742.60979,3.464102,15683.720063,-58.889727,good
65.817931,-129.903811,5000.430681,-8.660254,-98.726896,41.569219,-41.569219,-4861.866617,1.732051,-57.157677,4903.435836,38.105118,-84.87049,36.373067,-90.066642,-1.732051,4908.631989,90.066642,57.157677,-10.392305,43.30127,93.530744,-4873.990972,143.760217,5002.162732,1.732051,4913.828141,-91.798693,good
96.994845,-126.439709,5403.99852,-5.196152,-109.119201,83.138439,-22.51666,-5220.401134,-1.732051,-32.908965,5296.61137,17.320508,-102.190998,15.588457,-105.655099,1.732051,5298.34342,100.458947,90.066642,-8.660254,24.248711,102.190998,-5279.290861,136.832014,5403.99852,10.392305,5300.075471,-100.458947,good
8.660254,-100.458947,9112.319299,-5.196152,-50.229473,-8.660254,-53.693575,-9070.750079,6.928203,-64.08588,9062.089825,43.30127,-50.229473,46.765372,-53.693575,-1.732051,9060.357774,48.497423,-1.732051,-5.196152,51.961524,50.229473,-9020.520606,105.655099,9105.391095,8.660254,9063.821876,-46.765372,bad
31.176915,-62.353829,2286.307066,3.464102,-48.497423,13.856406,-19.052559,-2220.489135,5.196152,-32.908965,2244.737847,12.124356,-46.765372,20.78461,-46.765372,-5.196152,2236.077593,43.30127,24.248711,0,19.052559,50.229473,-2225.685288,65.817931,2279.378863,5.196152,2241.273745,-41.569219,bad
25.980762,-60.621778,2752.228733,0,-45.033321,12.124356,-19.052559,-2695.071057,3.464102,-31.176915,2712.391565,13.856406,-41.569219,20.78461,-39.837169,3.464102,2708.927463,34.641016,20.78461,1.732051,17.320508,38.105118,-2693.339006,62.353829,2752.228733,6.928203,2714.123615,-34.641016,good
77.942286,-143.760217,2180.651967,-10.392305,-109.119201,57.157677,-41.569219,-2019.571242,6.928203,-57.157677,2074.996867,34.641016,-96.994845,36.373067,-107.38715,-6.928203,2071.532766,103.923048,65.817931,-8.660254,45.033321,103.923048,-2047.284055,154.152522,2175.455814,1.732051,2076.728918,-102.190998,bad
34.641016,-71.014083,2478.564706,-5.196152,-51.961524,19.052559,-24.248711,-2412.746775,3.464102,-41.569219,2428.335232,17.320508,-43.30127,24.248711,-46.765372,-3.464102,2424.871131,48.497423,27.712813,-5.196152,22.51666,51.961524,-2414.478826,79.674337,2475.100604,1.732051,2430.067283,-48.497423,good
29.444864,-96.994845,2275.914761,0,-62.353829,8.660254,-45.033321,-2210.09683,5.196152,-55.425626,2217.025034,29.444864,-51.961524,39.837169,-60.621778,-1.732051,2218.757084,53.693575,15.588457,-5.196152,41.569219,53.693575,-2180.651967,102.190998,2272.45066,6.928203,2218.757084,-50.229473,bad
65.817931,-126.439709,4288.5578,-10.392305,-98.726896,39.837169,-38.105118,-4151.725786,3.464102,-55.425626,4196.759107,38.105118,-84.87049,38.105118,-98.726896,-1.732051,4196.759107,88.334591,55.425626,-8.660254,45.033321,91.798693,-4162.118091,143.760217,4283.361647,5.196152,4200.223208,-93.530744,good
45.033321,-119.511506,21867.141446,-1.732051,-79.674337,22.51666,-32.908965,-21749.361991,1.732051,-57.157677,21785.735058,39.837169,-74.478185,36.373067,-77.942286,-6.928203,21780.538905,74.478185,41.569219,-1.732051,38.105118,77.942286,-21749.361991,124.707658,21855.01709,3.464102,21785.735058,-74.478185,bad
25.980762,-95.262794,5994.627845,-6.928203,-62.353829,3.464102,-41.569219,-5928.809914,3.464102,-57.157677,5934.006067,36.373067,-53.693575,39.837169,-58.889727,-0,5937.470168,46.765372,17.320508,-1.732051,41.569219,55.425626,-5899.365051,102.190998,5992.895794,1.732051,5942.666321,-51.961524,good
81.406388,-93.530744,3779.334862,-13.856406,-91.798693,58.889727,-15.588457,-3632.110543,5.196152,-31.176915,3692.732322,10.392305,-79.674337,10.392305,-88.334591,-3.464102,3691.000271,79.674337,69.282032,-6.928203,17.320508,81.406388,-3691.000271,109.119201,3774.13871,5.196152,3697.928474,-84.87049,good
79.674337,-81.406388,4659.216672,-5.196152,-79.674337,58.889727,-8.660254,-4524.116709,1.732051,-24.248711,4583.006437,5.196152,-76.210236,5.196152,-77.942286,-1.732051,4577.810284,71.014083,71.014083,-3.464102,10.392305,81.406388,-4577.810284,91.798693,4659.216672,5.196152,4586.470538,-74.478185,good
71.014083,-90.066642,3199.097842,-8.660254,-83.138439,45.033321,-19.052559,-3072.658133,8.660254,-34.641016,3124.619657,17.320508,-72.746134,19.052559,-72.746134,-1.732051,3117.691454,76.210236,62.353829,-10.392305,25.980762,83.138439,-3110.76325,109.119201,3197.365791,6.928203,3121.155555,-76.210236,good
34.641016,-57.157677,3626.914391,-3.464102,-50.229473,24.248711,-19.052559,-3552.436206,3.464102,-22.51666,3574.952867,12.124356,-41.569219,12.124356,-50.229473,1.732051,3580.149019,43.30127,24.248711,-3.464102,20.78461,45.033321,-3568.024664,64.08588,3625.18234,6.928203,3587.077222,-43.30127,good
