@relation 'wine-weka.filters.unsupervised.instance.Resample-S0-Z30.0-no-replacement-V_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.95-A5-M6-weka.filters.unsupervised.attribute.AddCluster-Wweka.clusterers.SimpleKMeans -init 0 -max-candidates 100 -periodic-pruning 10000 -min-density 2.0 -t1 -1.25 -t2 -1.0 -N 3 -A \"weka.core.EuclideanDistance -R first-last\" -I 500 -num-slots 1 -S 10_clusterMembership-weka.filters.unsupervised.attribute.ClusterMembership-I8-Wweka.clusterers.EM---I100-N-1-X13-max-1-ll-cv1.0E-6-ll-iter1.0E-6-M1.0E-6-K10-num-slots1-S100'

@attribute pCluster_3_0 numeric
@attribute pCluster_3_1 numeric
@attribute pCluster_4_0 numeric
@attribute pCluster_4_1 numeric
@attribute pCluster_4_2 numeric
@attribute pCluster_4_3 numeric
@attribute pCluster_5_0 numeric
@attribute pCluster_5_1 numeric
@attribute pCluster_5_2 numeric
@attribute pCluster_5_3 numeric
@attribute pCluster_5_4 numeric
@attribute pCluster_5_5 numeric
@attribute pCluster_5_6 numeric
@attribute pCluster_5_7 numeric
@attribute pCluster_5_8 numeric
@attribute pCluster_6_0 numeric
@attribute pCluster_6_1 numeric
@attribute pCluster_6_2 numeric
@attribute pCluster_6_3 numeric
@attribute pCluster_6_4 numeric
@attribute pCluster_6_5 numeric
@attribute pCluster_6_6 numeric
@attribute pCluster_6_7 numeric
@attribute pCluster_6_8 numeric
@attribute pCluster_7_0 numeric
@attribute pCluster_7_1 numeric
@attribute pCluster_7_2 numeric
@attribute pCluster_7_3 numeric
@attribute pCluster_7_4 numeric
@attribute pCluster_7_5 numeric
@attribute pCluster_7_6 numeric
@attribute pCluster_7_7 numeric
@attribute pCluster_7_8 numeric
@attribute pCluster_8_0 numeric
@attribute pCluster_8_1 numeric
@attribute pCluster_8_2 numeric
@attribute pCluster_9_0 numeric
@attribute class {0,1,2,3,4,5,6,7,8,9,10}

@data
0,0.00117,0.0005,0.001687,0.048929,0.000002,0.481559,0.000172,0,0.00002,0,0.084422,0.003492,0,0.040744,0.000002,0.001458,0.000119,0.00001,0.001016,0.054835,0.05925,0.181036,0.009794,0,0.01272,0,0.007555,0.000244,0.000003,0.000068,0,0,0.007192,0.000001,0.001999,0,6
0,0.00065,0.000005,0.002277,0.063995,0.000004,0.160331,0.003587,0.000005,0.000009,0,0.130141,0.001143,0.000007,0.021602,0,0.016146,0.003691,0.002969,0.000726,0.022253,0.488862,0.005824,0.028327,0,0.000048,0,0.040333,0.000508,0,0.000021,0.000005,0.001406,0.000765,0.000087,0.004259,0.000012,6
0,0.00065,0.000005,0.002277,0.063995,0.000004,0.160331,0.003587,0.000005,0.000009,0,0.130141,0.001143,0.000007,0.021602,0,0.016146,0.003691,0.002969,0.000726,0.022253,0.488862,0.005824,0.028327,0,0.000048,0,0.040333,0.000508,0,0.000021,0.000005,0.001406,0.000765,0.000087,0.004259,0.000012,6
0,0.000898,0.001629,0.00028,0.076604,0.000002,0.384074,0.05315,0.000001,0.000018,0.000001,0.074217,0.012961,0.000029,0.000338,0,0.223462,0.010129,0.000899,0.001248,0.018944,0.068539,0.006871,0.055797,0,0.000177,0,0.000066,0.000013,0.000006,0.000302,0.000056,0.00396,0.004157,0.000975,0.000197,0,6
0,0.000017,0,0.000394,0.004947,0,0.032112,0,0,0,0,0.008163,0.000039,0,0.001595,0,0.000018,0.004275,0.000001,0.000232,0.010027,0.449063,0.015535,0.026742,0,0.000947,0,0.403661,0.00351,0.000005,0.017544,0.00019,0.000863,0.018745,0.000444,0.000907,0.000022,7
0,0.000127,0.173713,0.000001,0.057102,0.00002,0.120226,0,0,0.000011,0,0.001252,0.201671,0.000001,0.000002,0,0.000017,0.000858,0,0.008863,0.003665,0.000089,0.000009,0.39244,0,0.000353,0,0,0,0,0.003665,0.000061,0,0.034634,0.001219,0,0,6
0,0.001135,0.078341,0.00018,0.00002,0.000545,0.000006,0,0,0,0,0.000199,0.286916,0,0,0,0,0.00009,0,0.090979,0.000029,0.000001,0,0.291289,0,0.000741,0.1119,0,0.000002,0,0.035595,0.000046,0,0.101579,0.000408,0,0,8
0,0.000381,0.000032,0.006066,0.003631,0.000008,0.010526,0.000001,0,0.000001,0,0.042321,0.005083,0.000005,0.024919,0,0,0.003444,0.000047,0.004242,0.023891,0.058221,0.000002,0.473462,0,0.001348,0.132729,0.143128,0.003598,0,0.0168,0.000335,0.000018,0.039659,0.000389,0.000035,0.005675,6
0,0.001015,0.000842,0.000505,0.061804,0.000001,0.249065,0.140573,0.000005,0.000012,0.000005,0.058619,0.009145,0.000105,0.000633,0,0.328346,0.005434,0.002546,0.001352,0.034956,0.062638,0.006169,0.02646,0,0.000187,0,0.000148,0.000021,0.00007,0.000047,0.000007,0.006047,0.00264,0.000477,0.000126,0,5
0,0.001135,0.078341,0.00018,0.00002,0.000545,0.000006,0,0,0,0,0.000199,0.286916,0,0,0,0,0.00009,0,0.090979,0.000029,0.000001,0,0.291289,0,0.000741,0.1119,0,0.000002,0,0.035595,0.000046,0,0.101579,0.000408,0,0,8
