@relation wine-weka.filters.unsupervised.instance.Resample-S0-Z30.0-no-replacement-V-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R12_ICA-weka.filters.unsupervised.attribute.IndependentComponents-W-A6-N200-T1.0E-4

@attribute Source_0 numeric
@attribute Source_1 numeric
@attribute Source_2 numeric
@attribute Source_3 numeric
@attribute Source_4 numeric
@attribute Source_5 numeric
@attribute class {0,1,2,3,4,5,6,7,8,9,10}

@data
0.004324,0.011482,-0.000846,0.010256,0.009476,-0.0278,6
0.008953,0.000767,-0.004913,-0.028977,-0.014243,-0.006907,6
0.008953,0.000767,-0.004913,-0.028977,-0.014243,-0.006907,6
0.005348,-0.006595,0.001387,0.007605,0.010778,-0.011359,6
-0.006952,0.005747,0.008431,0.000434,-0.007152,-0.006982,7
-0.006666,-0.007854,0.00819,-0.007318,0.013302,-0.024142,6
-0.014315,-0.007823,0.018278,0.002118,-0.018428,-0.000261,8
-0.014869,0.022028,-0.019347,0.020614,-0.00218,-0.003111,6
0.008903,-0.004157,0.003263,-0.002157,0.007601,-0.009531,5
-0.014315,-0.007823,0.018278,0.002118,-0.018428,-0.000261,8
-0.008603,-0.007874,-0.000275,0.01019,-0.001815,-0.013279,7
0.002596,0.02305,0.00873,-0.010297,0.003713,-0.012519,6
-0.011359,0.015138,-0.01042,0.008124,-0.011322,-0.005519,6
-0.01724,0.002439,0.004374,-0.005017,-0.01393,0.007857,7
0.014344,0.014335,-0.000425,-0.038509,-0.027267,-0.03097,6
0.007003,0.007044,0.022426,-0.021601,0.014731,-0.022439,6
0.029942,0.002934,-0.001521,0.033306,-0.003612,0.005222,5
0.001301,0.003239,-0.004662,0.012815,0.007463,-0.010026,5
-0.022869,-0.00005,-0.003239,0.002341,0.005252,0.000556,6
0.030281,-0.015262,-0.006248,-0.015021,0.00199,0.007125,5
0.002503,0.002758,-0.012142,0.00896,0.006806,-0.004535,6
-0.002972,0.014267,0.00113,-0.001274,0.014664,-0.015957,6
-0.011046,0.01715,-0.007048,-0.00468,0.010845,-0.005549,7
-0.007653,0.01269,0.011436,0.002702,0.02548,0.008987,4
-0.008547,0.012051,0.009952,0.004397,0.026054,0.00877,5
0.009529,0.015449,0.002607,-0.004393,0.002223,-0.008931,5
-0.007626,0.029162,-0.002152,0.009395,-0.008179,0.005798,6
-0.00459,0.011481,0.015495,-0.008956,-0.002322,-0.005223,7
-0.009689,-0.000327,0.015399,-0.008536,0.001829,-0.008222,6
-0.016881,-0.006543,-0.004212,-0.007478,0.025041,-0.019089,6
-0.016285,0.021217,-0.011952,0.022566,0.008394,0.000732,6
0.008682,0.009184,-0.019656,0.017239,0.009973,0.011221,6
0.019808,-0.013094,0.012936,-0.005642,0.014075,-0.000515,6
-0.004849,-0.020579,0.001771,-0.006261,0.001537,-0.017217,6
-0.003897,0.007515,0.009864,-0.030987,0.002624,-0.011442,6
-0.002455,-0.012009,-0.007663,-0.006046,0.02064,-0.022263,6
0.019808,-0.013094,0.012936,-0.005642,0.014075,-0.000515,6
-0.020589,0.002905,-0.020459,0.021062,0.011106,-0.012749,5
-0.004849,-0.020579,0.001771,-0.006261,0.001537,-0.017217,6
