@relation 'wine-weka.filters.unsupervised.instance.Resample-S0-Z30.0-no-replacement-V-weka.filters.unsupervised.attribute.Remove-R1,9-10'

@attribute volacid numeric
@attribute citricacid numeric
@attribute residualsugar numeric
@attribute chlorides numeric
@attribute freesulfur numeric
@attribute totalsulfur numeric
@attribute density numeric
@attribute alcohol numeric
@attribute class {0,1,2,3,4,5,6,7,8,9,10}

@data
0.3,0.34,1.6,0.049,14,132,0.994,9.5,6
0.28,0.4,6.9,0.05,30,97,0.9951,10.1,6
0.28,0.4,6.9,0.05,30,97,0.9951,10.1,6
0.32,0.16,7,0.045,30,136,0.9949,9.6,6
0.17,0.38,1.5,0.032,28,112,0.9914,11.4,7
0.48,0.04,1.1,0.046,30,99,0.9928,9.6,6
0.66,0.48,1.2,0.029,29,75,0.9892,12.8,8
0.34,0.42,1.1,0.033,17,171,0.9917,11.3,6
0.31,0.14,7.5,0.044,34,133,0.9955,9.5,5
0.66,0.48,1.2,0.029,29,75,0.9892,12.8,8
0.31,0.38,2.9,0.038,19,102,0.9912,11,7
0.24,0.35,1,0.052,35,146,0.993,10,6
0.27,0.48,1.1,0.047,17,132,0.9914,11.6,6
0.32,0.36,2,0.033,37,114,0.9906,12.3,7
0.14,0.34,1.1,0.042,7,47,0.9934,10.2,6
0.12,0.34,1.5,0.045,43,117,0.9939,9,6
0.27,0.2,14.95,0.044,22,179,0.9962,10.2,5
0.39,0.23,5.4,0.051,25,149,0.9934,10,5
0.33,0.32,1.2,0.053,38,138,0.9906,11.2,6
0.24,0.39,17.95,0.057,45,149,0.9999,8.6,5
0.31,0.26,7.4,0.069,28,160,0.9954,9.8,6
0.23,0.26,1.4,0.06,33,154,0.9934,9.5,6
0.18,0.31,1.4,0.058,38,167,0.9931,10,7
0.45,0.26,4.4,0.063,63,206,0.994,9.8,4
0.46,0.25,4.4,0.066,62,207,0.9939,9.8,5
0.19,0.35,5,0.067,32,150,0.995,9.8,5
0.19,0.31,1.6,0.062,31,173,0.9917,11.7,6
0.25,0.29,1.1,0.068,39,124,0.9914,11,7
0.18,0.35,1,0.045,39,108,0.9911,10.9,6
0.2,0.59,0.9,0.147,38,132,0.993,9.1,6
0.25,0.35,1.3,0.039,29,191,0.9908,11,6
0.21,0.34,11.9,0.043,37,213,0.9962,9.6,6
0.19,0.26,12.4,0.048,50,147,0.9972,8.9,6
0.38,0.15,4.6,0.044,25,78,0.9931,10.2,6
0.2,0.36,1.2,0.038,44,111,0.9926,9.9,6
0.22,0.24,4.9,0.092,30,123,0.9951,8.6,6
