@relation 'wine-weka.filters.unsupervised.instance.Resample-S0-Z30.0-no-replacement-V_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.95-A5-M6'

@attribute -0.512density+0.437alcohol-0.427residualsugar-0.407totalsulfur-0.3freesulfur... numeric
@attribute 0.588fixedacid-0.581pH+0.345citricacid-0.29freesulfur-0.244totalsulfur... numeric
@attribute -0.591volacid+0.504citricacid+0.433sulphates+0.279freesulfur-0.214residualsugar... numeric
@attribute -0.711chlorides-0.442sulphates+0.306freesulfur-0.274volacid+0.274residualsugar... numeric
@attribute 0.643volacid+0.401sulphates+0.337alcohol-0.329chlorides+0.293totalsulfur... numeric
@attribute 0.494freesulfur-0.481sulphates+0.396chlorides-0.328density-0.289residualsugar... numeric
@attribute class {0,1,2,3,4,5,6,7,8,9,10}

@data
0.644522,-0.430726,-0.356294,-0.999015,-0.714005,-0.483688,6
-0.155275,1.189678,-0.01753,-0.270192,-0.367668,-0.50063,6
-0.155275,1.189678,-0.01753,-0.270192,-0.367668,-0.50063,6
-0.073829,-0.829234,-1.379887,0.057712,-0.403122,-0.38236,6
1.71939,-0.03604,1.332779,0.068146,-0.327768,-0.348888,7
1.335971,-0.972994,-2.943949,-0.264226,-0.064461,0.399705,6
3.043663,-0.036687,-1.570783,-0.61938,2.342518,1.126774,8
0.977699,0.933957,0.415445,-0.476345,1.28536,0.114255,6
-0.295192,-0.941306,-1.208056,0.08083,-0.320276,-0.657701,5
3.043663,-0.036687,-1.570783,-0.61938,2.342518,1.126774,8
1.727856,0.651054,-0.633354,0.175408,-0.48691,0.469748,7
0.536164,-0.853682,0.542994,-0.447546,-0.774241,0.355828,6
1.379966,1.188517,0.841854,-0.728705,0.281117,0.240639,6
1.661724,0.375058,1.177716,-0.594809,1.841668,-0.290836,7
1.857581,1.192182,0.446726,-0.339524,-1.935692,-1.471101,6
0.285129,-1.333647,1.278077,-0.096048,-1.792449,-0.294574,6
-0.783834,-1.614158,-1.53913,0.875185,-0.950961,-0.671414,5
0.319393,-0.422783,-1.766,-0.117291,-0.20935,0.519931,5
1.17033,0.662868,-0.751493,0.309872,-0.133372,1.944828,6
-3.119976,0.348878,-0.722918,0.786378,-1.219216,-0.485871,5
-0.855643,0.14028,-0.965674,-0.718633,-0.354496,0.200417,6
0.057647,-0.694814,0.352991,-0.951939,-0.583223,0.048638,6
-0.150935,0.181695,0.959771,-0.496243,-0.395994,0.468654,7
-1.124802,-2.000628,-0.631361,-0.687542,1.203922,1.568938,4
-1.134386,-1.944544,-0.771688,-0.804391,1.23329,1.6385,5
-0.434339,-0.542179,0.532008,-0.736681,-1.212865,-0.017688,5
0.936114,-0.380159,0.772243,-0.345429,-0.443868,0.883717,6
1.12103,-0.991994,0.707645,-1.237241,-0.278844,0.435911,7
1.55273,-0.279306,0.5106,0.500565,-1.324921,0.955368,6
-1.199557,1.480646,0.690077,-3.304659,-2.586556,2.967737,6
0.740022,0.088882,0.782068,-0.083758,0.604718,0.660175,6
-2.033268,0.151366,0.284003,0.630445,0.057992,-0.207393,6
-1.589506,-1.301596,-0.587629,1.146934,-1.734314,-0.028422,6
1.211262,0.278342,-2.132603,0.078076,-0.393233,-0.039098,6
0.722204,0.124431,0.547239,0.647282,-1.10841,0.595147,6
-0.944199,0.532987,-0.801865,-1.419794,-1.823755,0.495912,6
-1.589506,-1.301596,-0.587629,1.146934,-1.734314,-0.028422,6
1.456609,0.439856,-2.774727,0.218744,0.884199,0.760303,5
1.211262,0.278342,-2.132603,0.078076,-0.393233,-0.039098,6
0.87227,0.451977,0.028486,0.163939,-0.317222,0.049524,6
0.64094,-1.390825,-1.683747,-1.201613,-0.570006,-0.184273,5
1.94274,-0.408418,-0.135167,0.384222,0.260513,0.093961,7
-0.312496,-1.347832,0.10944,1.282481,0.118724,2.029335,5
-2.334488,-0.746493,0.567915,-0.142009,0.186146,1.02011,6
-1.683176,-1.926912,0.342103,-0.721881,0.645275,0.448377,5
-0.576306,-3.403099,0.908474,-1.745884,-0.040128,-1.167822,5
0.283338,3.317652,0.296899,-1.195327,-0.799605,-0.738601,6
1.292522,-0.640968,0.895394,-0.89298,-0.218862,-0.883688,8
-0.557192,1.167615,-1.151677,0.383482,-1.319573,-0.61826,5
2.549942,0.700518,0.697574,0.537573,-0.669063,0.778058,7
2.418015,0.030861,0.53867,-1.199393,0.672745,-0.987671,7
0.025524,-0.079863,-2.694731,-1.218686,0.078183,0.09248,5
0.937522,-1.222021,1.605856,-1.587641,0.17877,-1.176946,6
-0.753189,-0.392683,-1.036879,-0.110625,0.057664,0.930658,5
-1.646674,-0.79085,0.298824,0.392668,-0.293737,-0.055037,6
-2.543313,0.791167,-0.10473,-0.149714,0.891779,0.338915,6
-2.58778,-1.1767,0.267029,0.986625,0.16131,0.582927,6
-2.592262,0.775021,-0.092856,-0.058102,0.82568,0.477545,5
-2.543313,0.791167,-0.10473,-0.149714,0.891779,0.338915,6
-2.596052,0.996915,0.242515,0.084356,0.62063,0.569429,6
-2.498125,-1.10207,0.735984,0.518472,0.271856,1.5425,5
1.839679,-0.175243,0.7197,0.923054,0.338112,1.304744,7
1.829581,-0.158298,0.946376,1.027538,0.218379,1.255193,7
0.787017,0.19401,1.198266,0.801903,-0.05177,1.015809,7
-2.983412,-0.333326,-0.178302,1.341649,0.386442,0.982276,6
-0.489243,4.713315,-1.419478,0.284256,0.28451,-0.807373,4
-2.925963,0.670659,-0.161463,0.496381,-0.168036,0.534773,5
-1.577224,-1.748246,-0.453937,1.063606,-1.26094,0.184123,5
-2.925963,0.670659,-0.161463,0.496381,-0.168036,0.534773,5
-1.460713,0.707417,-0.376111,1.016,-2.051585,-0.785078,6
-1.660374,-1.11249,0.955101,0.957563,-1.412592,0.417582,5
-3.021354,-0.526093,0.505064,0.834786,0.209411,-0.91344,6
0.115236,-0.980007,0.363587,-0.934463,0.88276,0.301044,5
-4.335731,0.202254,0.164681,0.503143,0.557254,-0.241547,5
-1.209963,-0.329716,-1.112299,-0.652517,0.348327,-0.613668,5
1.565551,-1.070611,-0.610503,0.042783,-0.085993,0.292006,6
2.238527,1.172562,0.85443,0.361592,-1.037317,-0.191157,6
-3.224385,0.501314,0.214199,0.016286,0.563118,0.56539,5
1.339166,-1.174912,-2.096889,-0.354428,-0.424628,-0.903543,5
-0.433408,0.366352,-0.107059,0.275687,-1.759044,0.084271,5
-0.204566,0.067747,-0.608148,-0.255768,-1.886732,-0.312229,6
-0.361014,0.132563,1.007067,-1.005707,-2.175947,1.972255,6
0.304111,0.519219,-1.42247,0.429284,0.660952,-0.217291,5
-1.172374,-1.993755,0.760381,0.32332,0.036586,-0.271721,7
0.075481,-0.891908,1.677597,-0.538546,0.77963,0.883542,7
0.042848,-0.941068,1.679045,-0.626333,0.765457,0.916112,6
-1.172374,-1.993755,0.760381,0.32332,0.036586,-0.271721,7
-3.105242,-1.512134,-0.152964,0.232059,1.669022,0.139139,5
-2.370399,-1.11434,-0.279579,1.077923,-0.160245,-0.940722,5
-1.787458,-1.191314,-0.052375,0.797016,0.31495,0.015053,5
-2.126511,-1.021952,-0.080062,0.695404,0.258254,-1.123982,5
0.843248,1.725225,0.647775,0.815019,0.057026,0.50517,6
-2.433448,0.891416,0.481454,-0.121465,0.337338,0.366196,5
1.892773,1.483966,0.546416,-0.202109,0.533505,-0.872253,6
1.546446,-0.085071,-0.5953,-0.531071,-0.887434,-0.286872,5
-2.433448,0.891416,0.481454,-0.121465,0.337338,0.366196,5
0.933847,0.921873,1.349047,-0.164872,0.101651,-0.076086,6
1.424216,1.861141,0.99593,-0.298828,-0.027995,-0.727571,6
1.384691,0.783841,0.061458,0.456226,-0.368234,1.25912,6
0.515498,-1.587077,0.524432,0.917179,-1.295951,1.485033,6
0.527494,-0.972908,-3.702344,-1.285773,0.061245,-0.328667,4
0.059646,1.239728,-0.857829,-0.100624,-1.12591,0.293174,6
-0.210444,1.247648,0.253211,1.278142,-0.04337,1.092219,7
-1.77355,0.836291,0.926022,0.617804,-0.68457,0.455215,6
0.059646,1.239728,-0.857829,-0.100624,-1.12591,0.293174,6
0.858717,0.922007,1.013313,0.014099,-0.833723,0.604217,5
-0.414763,1.686164,1.163643,-1.879495,0.438291,-2.925358,6
-3.297825,1.309741,-0.194526,0.35939,-0.347949,0.738778,6
2.353859,-0.966679,-0.326215,0.490154,0.375434,0.968143,7
2.777263,-2.383732,-2.212546,0.772348,0.358582,1.424064,8
-2.330168,1.298463,-0.05385,0.258875,-1.120965,-0.121237,5
