@relation wine-weka.filters.unsupervised.instance.Resample-S0-Z30.0-no-replacement-V-weka.filters.supervised.attribute.NominalToBinary-weka.filters.unsupervised.attribute.RandomProjection-N6-R44-DSparse1

@attribute K1 numeric
@attribute K2 numeric
@attribute K3 numeric
@attribute K4 numeric
@attribute K5 numeric
@attribute K6 numeric
@attribute class {0,1,2,3,4,5,6,7,8,9,10}

@data
-1.721659,-40.183579,1.569238,-25.012546,220.204279,4.951933,6
-1.723564,-68.970263,10.712561,-52.637024,156.37838,4.970986,6
-1.723564,-68.970263,10.712561,-52.637024,156.37838,4.970986,6
-1.723217,-68.034956,10.955395,-52.697646,227.279534,4.7718,6
-1.717155,-67.948353,1.17537,-49.394625,185.172513,4.731963,7
-1.71958,-67.757828,1.01706,-52.505388,162.824554,5.067981,6
-1.713345,-71.25657,1.50827,-50.854744,121.503711,5.142459,8
-1.717675,-48.428141,0.776478,-30.305693,285.942016,4.543169,6
-1.724257,-74.807274,11.80306,-59.679543,221.618499,4.787388,5
-1.713345,-71.25657,1.50827,-50.854744,121.503711,5.142459,8
-1.716809,-51.424588,3.843074,-33.449365,167.841266,4.950201,7
-1.719926,-77.526594,0.427817,-61.293814,243.320229,5.30354,6
-1.717155,-49.068999,0.655754,-30.212162,218.297984,4.757944,6
-1.71577,-84.835849,2.302588,-65.258478,187.871394,4.196759,7
-1.720619,-29.548787,0.427124,-12.74443,69.37106,5.390142,6
-1.721485,-89.858796,1.084437,-75.283588,194.438118,5.11821,6
-1.725469,-55.304382,24.636344,-38.669766,302.281317,5.272363,5
-1.720619,-59.946278,8.307955,-43.819153,249.055743,5.093961,5
-1.71577,-84.645323,0.934268,-66.211106,229.007601,5.028143,6
-1.731878,-92.422231,29.774127,-78.467098,247.688288,5.035072,5
-1.724083,-64.934585,11.630028,-49.174654,267.405089,4.744087,6
-1.720619,-73.213788,1.102624,-58.023702,257.717729,4.745819,6
-1.7201,-82.82667,1.016541,-66.635459,278.972937,4.655753,7
-1.721659,-125.313876,6.678788,-109.910748,348.576957,4.872259,4
-1.721485,-123.564505,6.696282,-108.173501,350.303639,4.842814,5
-1.723391,-72.070634,7.265953,-56.140963,250.295198,5.104354,5
-1.717675,-73.62948,1.382696,-54.34829,289.546414,5.147655,6
-1.717155,-86.169528,0.621113,-68.436792,205.94673,4.89824,7
-1.716636,-86.117566,0.327184,-68.078257,178.221273,5.204813,6
-1.719926,-81.233183,0.185329,-66.221499,218.976255,4.879187,6
-1.716116,-68.84902,0.968563,-51.06259,321.419786,4.588203,6
-1.725469,-80.349837,19.249666,-64.877427,358.973072,4.56049,6
-1.727201,-101.688703,20.079319,-87.14294,246.486765,5.175368,6
-1.7201,-60.310009,6.905513,-43.883239,125.970496,4.804709,6
-1.719234,-93.011128,0.705637,-76.733315,181.682777,5.296611,6
-1.723564,-66.47611,7.144536,-52.598919,203.625262,4.610719,6
-1.727201,-101.688703,20.079319,-87.14294,246.486765,5.175368,6
-1.716462,-46.817333,1.002857,-29.973139,251.660054,4.702518,5
-1.7201,-60.310009,6.905513,-43.883239,125.970496,4.804709,6
-1.719407,-71.118006,1.121156,-54.4245,201.289765,4.725035,6
-1.720619,-65.384918,0.964059,-51.05393,199.652457,4.752747,5
-1.71525,-68.138879,9.820208,-47.544795,206.183848,4.797781,7
-1.718194,-156.837201,0.793279,-140.952563,292.146742,4.782192,5
-1.72443,-98.259242,12.25322,-83.92479,414.392463,4.583006,6
-1.724776,-103.403433,6.762273,-88.402141,403.974524,4.816833,5
-1.725815,-70.546429,7.055682,-54.814212,340.59636,5.270631,5
-1.721832,-30.951748,0.408591,-16.343631,112.289027,4.354376,6
-1.719234,-70.096096,2.316445,-52.990362,157.420209,4.738891,8
-1.725469,-52.411857,16.183936,-36.892682,171.293243,4.901704,5
-1.714384,-75.378851,1.022256,-54.259956,140.671624,5.080105,7
-1.716809,-54.87137,1.089114,-35.694103,110.157046,4.680001,7
-1.723217,-51.026217,8.565164,-36.910003,172.520747,5.12687,5
-1.719753,-76.868415,1.086169,-60.131608,188.63748,4.629772,6
-1.722698,-98.137999,9.431709,-82.02473,274.099812,4.872259,5
-1.726162,-88.819565,12.857706,-73.461471,348.332045,5.052392,6
-1.727721,-104.373382,19.472581,-90.787175,253.422416,4.683465,6
-1.727201,-135.879386,21.742087,-120.256288,340.568301,4.832422,6
-1.727547,-107.854804,19.455434,-94.232224,258.599342,4.685197,5
-1.727721,-104.373382,19.472581,-90.787175,253.422416,4.683465,6
-1.727547,-109.656137,18.000511,-95.948687,260.1426,4.666145,6
-1.724603,-127.704106,11.733432,-113.312496,412.776633,4.674805,5
-1.71473,-102.814536,1.645448,-82.038587,225.954688,5.014287,7
-1.714557,-104.598548,1.766865,-83.78969,225.973567,4.977914,7
-1.717502,-107.958727,1.521433,-89.027412,245.76346,4.867063,7
-1.726681,-122.871684,20.201082,-108.038401,405.772566,4.614183,6
-1.72443,-23.798378,17.085642,-7.382001,128.964346,4.55183,4
-1.727721,-105.395292,22.087978,-90.724821,322.122479,4.537973,5
-1.726855,-111.180341,19.594691,-95.851692,275.97978,5.196152,5
-1.727721,-105.395292,22.087978,-90.724821,322.122479,4.537973,5
-1.727547,-74.599428,23.439151,-59.407611,178.394998,5.024679,6
-1.725469,-126.924683,15.110065,-111.467862,270.636749,5.272363,5
-1.730319,-119.286339,27.246891,-104.875676,286.566074,4.520653,6
-1.719407,-81.354426,1.103836,-65.036776,314.612653,4.71291,5
-1.732051,-92.889885,31.211556,-78.752886,431.744841,4.454835,5
-1.726508,-65.280995,14.9185,-51.027949,250.727864,4.778728,5
-1.717155,-62.336509,4.535548,-43.992358,239.699204,5.042,6
-1.716636,-47.908525,1.470338,-28.379652,137.483438,4.858403,6
-1.728933,-114.107507,21.861599,-99.488998,329.329023,4.503332,5
-1.720619,-53.416447,8.775609,-37.176739,142.993611,4.773532,5
-1.723737,-70.21734,10.417939,-54.180281,216.291923,5.211741,5
-1.723737,-39.681284,7.265607,-24.771791,243.175084,5.175368,6
-1.71958,-86.030964,1.276868,-69.746222,264.762672,5.095693,6
-1.721659,-67.740507,11.078197,-50.899777,207.813188,4.768336,5
-1.724776,-99.523639,11.854502,-84.007928,342.942249,5.106086,7
-1.718887,-99.766127,3.65047,-82.317447,302.101531,4.804709,7
-1.718887,-98.034076,3.477265,-80.581932,310.758321,4.825494,6
-1.724776,-99.523639,11.854502,-84.007928,342.942249,5.106086,7
-1.728414,-117.043333,21.697574,-103.112449,408.815779,4.673073,5
-1.728933,-95.193512,26.053162,-80.497061,316.745674,4.78912,5
-1.725296,-110.210393,12.771969,-96.104571,342.395441,4.683465,5
-1.728414,-92.37027,25.932438,-77.11783,301.068362,4.738891,5
-1.718194,-80.488401,0.758638,-62.965243,197.704939,4.792585,6
-1.727721,-99.298473,17.099672,-85.55465,258.582195,4.78912,5
-1.718714,-51.13014,2.057157,-32.027351,125.371553,4.744087,6
-1.719407,-51.770999,2.628041,-35.307856,124.842238,5.048928,5
-1.727721,-99.298473,17.099672,-85.55465,258.582195,4.78912,5
-1.718194,-84.160349,0.723997,-66.685688,174.232187,4.692126,6
-1.718368,-51.961524,2.092144,-33.780187,139.248398,4.532777,6
-1.715596,-82.523561,0.631333,-64.692098,188.863686,4.589935,6
-1.717848,-109.015278,0.984151,-92.363341,283.567548,5.116478,6
-1.723564,-40.538649,8.313671,-26.503841,159.170446,5.331252,4
-1.721659,-55.685433,5.812763,-40.401817,191.25305,4.614183,6
-1.720619,-99.21187,12.516838,-80.154115,251.788919,4.92422,7
-1.726508,-117.294481,16.252179,-101.108466,223.0393,4.78912,6
-1.721659,-55.685433,5.812763,-40.401817,191.25305,4.614183,6
-1.718021,-88.715642,0.672209,-71.710368,157.952468,4.742355,5
