@relation wine-weka.filters.unsupervised.instance.Resample-S0-Z30.0-no-replacement-V

@attribute fixedacid numeric
@attribute volacid numeric
@attribute citricacid numeric
@attribute residualsugar numeric
@attribute chlorides numeric
@attribute freesulfur numeric
@attribute totalsulfur numeric
@attribute density numeric
@attribute pH numeric
@attribute sulphates numeric
@attribute alcohol numeric
@attribute class {0,1,2,3,4,5,6,7,8,9,10}

@data

7.5,0.2,0.41,1.2,0.05,26,131,0.99133,3.19,0.52,11.1,5
6.9,0.17,0.22,4.6,0.064,55,152,0.9952,3.29,0.37,9.3,6
5.1,0.42,0.01,1.5,0.017,25,102,0.9894,3.38,0.36,12.3,7
6.3,0.28,0.24,8.45,0.031,32,172,0.9958,3.39,0.57,9.7,7
6.6,0.21,0.34,5.6,0.046,30,140,0.99299,3.22,0.38,11,5
5.9,0.22,0.3,1.3,0.052,42,86,0.99069,3.31,0.47,11.55,6
8,0.24,0.33,1.2,0.044,28,101,0.99035,3.03,0.43,12.5,6
6.7,0.18,0.3,6.4,0.048,40,251,0.9956,3.29,0.52,10,5
7,0.61,0.26,1.7,0.051,25,161,0.9946,3.36,0.6,10.6,4
5.7,0.15,0.47,11.4,0.035,49,128,0.99456,3.03,0.34,10.5,8
6.4,0.16,0.42,1,0.036,29,113,0.9908,3.18,0.52,11,6
6,0.41,0.23,1.1,0.066,22,148,0.99266,3.3,0.47,9.633333,5
6.4,0.38,0.26,8.2,0.043,28,98,0.99234,2.99,0.31,11.4,6
7.2,0.24,0.24,1.7,0.045,18,161,0.99196,3.25,0.53,11.2,6
7,0.44,0.24,12.1,0.056,68,210,0.99718,3.05,0.5,9.5,5
6.4,0.18,0.35,1,0.045,39,108,0.9911,3.31,0.35,10.9,6
6.6,0.28,0.36,1.7,0.038,22,101,0.9912,3.29,0.57,11.6,6
5.8,0.17,0.34,1.8,0.045,96,170,0.99035,3.38,0.9,11.8,8
7.4,0.35,0.31,17.95,0.062,42,187,1.0002,3.27,0.64,9.1,5
5.4,0.185,0.19,7.1,0.048,36,110,0.99438,3.26,0.41,9.5,6
7.7,0.43,0.28,4.5,0.046,33,102,0.9918,3.16,0.56,12.2,7
6.9,0.38,0.29,13.65,0.048,52,189,0.99784,3,0.6,9.5,6
7.5,0.29,0.67,8.1,0.037,53,166,0.9966,2.9,0.41,8.9,6
7,0.36,0.35,2.5,0.048,67,161,0.99146,3.05,0.56,11.1,6
7.7,0.26,0.34,6.4,0.05,36,163,0.9937,3.19,0.7,11.5,6
7.4,0.16,0.27,15.5,0.05,25,135,0.9984,2.9,0.43,8.7,7
8.9,0.3,0.35,4.6,0.032,32,148,0.99458,3.15,0.45,11.5,7
6.4,0.27,0.49,7.3,0.046,53,206,0.9956,3.24,0.43,9.2,6
6.4,0.28,0.19,5.4,0.042,67,181,0.99435,3.31,0.35,10.2,6
6.2,0.18,0.3,1,0.031,23,73,0.99032,3.23,0.52,11.3,6
6.7,0.17,0.42,10.4,0.038,85,182,0.99628,3.04,0.44,8.9,6
8.1,0.17,0.44,14.1,0.053,43,145,1.0006,3.28,0.75,8.8,8
6.8,0.19,0.71,17.5,0.042,21,114,0.99784,2.85,0.5,9.5,6
5.9,0.34,0.3,3.8,0.035,57,135,0.99016,3.09,0.34,12,6
6.7,0.27,0.33,3.6,0.034,9,45,0.99144,3.08,0.4,10.5,6
7.7,0.4,0.27,4.5,0.034,27,95,0.99175,3.21,0.59,12.3,8
9.1,0.28,0.49,2,0.059,10,112,0.9958,3.15,0.46,10.1,5
7.3,0.22,0.3,8.2,0.047,42,207,0.9966,3.33,0.46,9.5,6
8.2,0.21,0.48,1.4,0.041,11,99,0.9958,3.17,0.57,9.9,5
5,0.33,0.23,11.8,0.03,23,158,0.99322,3.41,0.64,11.8,6
7.7,0.34,0.28,11,0.04,31,117,0.99815,3.27,0.29,9.2,6
8.1,0.25,0.34,10.1,0.05,30,121,0.99724,3.17,0.49,10.1,6
6.8,0.19,0.33,1.3,0.031,22,87,0.98987,3.08,0.62,12.3,7
5.6,0.28,0.28,4.2,0.044,52,158,0.992,3.35,0.44,10.7,7
7,0.14,0.32,9,0.039,54,141,0.9956,3.22,0.43,9.4,6
7,0.15,0.28,14.7,0.051,29,149,0.99792,2.96,0.39,9,7
7,0.15,0.28,14.7,0.051,29,149,0.99792,2.96,0.39,9,7
